"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
" ","Malahide, D.M.R. Northern Division",289,199,231,206,149,131
" ","Mallow, Cork North Division",94,115,112,94,75,81
" ","Manorhamilton, Sligo/Leitrim Division",28,30,16,11,7,8
" ","Mayfield, Cork City Division",189,150,138,192,116,167
" ","Maynooth, Kildare Division",141,127,139,123,108,90
" ","Mayorstone Park, Limerick Division",646,550,496,446,413,303
" ","Midleton, Cork North Division",133,105,87,74,62,63
" ","Milford, Co Cork, Cork North Division",6,4,4,8,4,5
" ","Milford, Co Donegal, Donegal Division",17,25,7,6,7,8
" ","Millstreet, Co. Cork, Cork West Division",23,29,11,15,22,19
" ","Milltown, Galway Division",2,5,2,2,1,1
" ","Miltown Malbay, Clare Division",39,22,18,10,18,23
" ","Mitchelstown, Cork North Division",60,36,48,33,23,36
" ","Moate, Westmeath Division",19,40,25,8,17,22
" ","Mohill, Sligo/Leitrim Division",23,31,29,23,16,17
" ","Monaghan, Cavan/Monaghan Division",153,122,148,143,96,70
" ","Monasterevin, Kildare Division",50,69,65,45,45,35
" ","Moneygall, Tipperary Division",0,1,5,1,0,0
" ","Monivea, Galway Division",7,2,2,1,1,2
" ","Mooncoin, Kilkenny/Carlow Division",6,23,15,25,12,3
" ","Mountbellew, Galway Division",13,10,10,5,0,4
" ","Mountcharles, Donegal Division",4,9,1,5,2,4
" ","Mountjoy, D.M.R. North Central Division",313,385,342,386,363,362
" ","Mountmellick, Laois/Offaly Division",67,53,49,61,102,70
" ","Mountrath, Laois/Offaly Division",48,60,33,28,23,26
" ","Moville, Donegal Division",35,34,37,27,12,16
" ","Moylough, Galway Division",5,0,4,2,2,0
" ","Moyne, Tipperary Division",5,3,2,2,1,1
" ","Muff, Donegal Division",28,19,13,10,12,12
" ","Muine Bheag, Kilkenny/Carlow Division",121,93,67,88,49,33
" ","Mullagh, Cavan/Monaghan Division",3,7,12,12,6,7
" ","Mullinahone, Tipperary Division",10,3,3,9,2,9
" ","Mullinavat, Kilkenny/Carlow Division",5,10,10,12,4,3
" ","Mullingar, Westmeath Division",359,332,335,287,289,235
" ","Multyfarnham, Westmeath Division",6,15,6,10,4,4
" ","Murroe, Limerick Division",30,30,18,20,7,8
" ","Myshall, Kilkenny/Carlow Division",8,5,10,5,2,1
" ","Na Cealla Beaga, Donegal Division",13,6,14,8,8,14
" ","Na Gleannta, Donegal Division",13,10,7,6,9,12
" ","Naas, Kildare Division",369,249,259,218,184,193
" ","Navan, Meath Division",284,248,202,162,168,185
" ","Nenagh, Tipperary Division",82,66,55,59,39,50
" ","New Ross, Wexford Division",122,112,119,134,117,86
" ","Newbridge, Kildare Division",262,193,218,210,157,119
" ","Newcastle West, Limerick Division",111,90,95,91,72,63
" ","Newmarket on Fergus, Clare Division",16,14,18,13,12,13
" ","Newmarket, Cork North Division",19,14,23,14,10,6
" ","Newport, Co Mayo, Mayo Division",15,15,14,13,15,7
" ","Newport, Co Tipperary, Tipperary Division",22,36,22,13,11,8
" ","Newtowncunningham, Donegal Division",57,35,22,30,20,13
" ","Newtownmountkennedy, Wicklow Division",42,33,29,35,47,25
" ","Nobber, Meath Division",17,17,31,19,12,8
" ","Oldcastle, Meath Division",21,37,32,20,15,11
" ","Omeath, Louth Division",21,24,20,20,10,18
" ","Oola, Limerick Division",5,8,4,0,4,3
" ","Oughterard, Galway Division",26,21,9,12,4,7
" ","Oulart, Wexford Division",13,19,19,17,17,7
" ","Oylegate, Wexford Division",11,19,10,10,6,10
" ","Pallasgreen, Limerick Division",12,18,12,9,12,6
" ","Pallaskenry, Limerick Division",16,22,14,6,11,13
" ","Partry, Mayo Division",3,8,5,7,9,5
" ","Passage East, Waterford Division",13,6,4,11,7,4
" ","Passage West, Cork City Division",52,45,49,40,39,33
" ","Patrickswell, Limerick Division",31,21,43,29,22,27
" ","Pearse Street, D.M.R. South Central Division",584,539,592,585,528,428
" ","Pettigo, Donegal Division",1,2,0,1,3,1
" ","Piltown, Kilkenny/Carlow Division",16,10,15,9,7,6
" ","Portarlington, Laois/Offaly Division",80,72,130,92,69,100
" ","Portlaoise, Laois/Offaly Division",320,289,165,197,181,246
" ","Portlaw, Waterford Division",10,19,22,21,26,9
" ","Portmagee, Kerry Division",15,4,6,3,5,5
" ","Portroe, Tipperary Division",3,3,4,5,5,2
" ","Portumna, Galway Division",20,11,19,21,18,20
" ","Raheny, D.M.R. Northern Division",204,234,177,201,189,148
" ","Ramelton, Donegal Division",15,7,16,7,7,5
" ","Raphoe, Donegal Division",55,41,27,19,19,18
" ","Rathangan, Kildare Division",29,44,33,33,40,20
" ","Rathcoole, D.M.R. Western Division",102,82,91,103,90,79
" ","Rathcormac, Co Cork, Cork North Division",11,10,15,13,10,12
" ","Rathdowney, Laois/Offaly Division",14,16,8,16,13,9
" ","Rathdrum, Wicklow Division",44,38,37,27,28,40
" ","Rathfarnham, D.M.R. Southern Division",439,364,361,328,336,298
" ","Rathgormack, Co Waterford, Waterford Division",4,4,5,11,9,5
" ","Rathkeale, Limerick Division",60,86,65,63,43,37
" ","Rathmines, D.M.R. Southern Division",324,302,272,257,226,208
" ","Rathmore, Co Kerry, Cork West Division",10,14,18,12,12,7
" ","Rathmullen, Donegal Division",6,5,9,2,5,2
" ","Rathvilly, Kilkenny/Carlow Division",21,24,15,15,3,6
" ","Rhode, Laois/Offaly Division",10,11,18,9,5,4
" ","Riverstown, Sligo/Leitrim Division",9,13,4,4,7,4
" ","Robertstown, Kildare Division",46,41,58,45,36,22
" ","Rochfortbridge, Westmeath Division",13,11,15,12,23,17
" ","Rockcorry, Cavan/Monaghan Division",3,6,1,5,2,1
" ","Ronanstown, D.M.R. Western Division",543,461,469,427,453,312
" ","Roosky, Roscommon/Longford Division",8,4,1,6,4,6
" ","Ros Muc, Galway Division",3,4,1,1,2,2
" ","Roscommon, Roscommon/Longford Division",56,58,57,52,36,36
" ","Roscrea, Tipperary Division",29,33,41,20,28,20
" ","Rosscarbery, Cork West Division",17,10,11,7,11,10
" ","Rosses Point, Sligo/Leitrim Division",0,6,1,5,3,5
" ","Rosslare Harbour, Wexford Division",22,24,18,25,31,29
" ","Rosslare Strand, Wexford Division",17,19,25,19,26,9
" ","Roundwood, Wicklow Division",18,23,29,32,27,39
" ","Roxboro Road, Limerick Division",847,811,718,645,534,551
" ","Santry, D.M.R. Northern Division",440,398,398,331,395,327
" ","Scariff, Clare Division",17,17,13,11,8,6
" ","Schull, Cork West Division",14,23,9,11,16,13
" ","Scotstown, Cavan/Monaghan Division",6,7,19,18,9,4
" ","Shankill, D.M.R. Eastern Division",321,263,268,226,221,208
" ","Shannon, Clare Division",166,133,130,92,79,72
" ","Shercock, Cavan/Monaghan Division",9,5,5,18,2,0
" ","Shevry, Tipperary Division",0,1,1,1,0,0
" ","Shillelagh, Wicklow Division",5,10,6,8,9,10
" ","Shinrone, Laois/Offaly Division",4,9,9,13,4,14
" ","Shrule, Mayo Division",3,3,2,3,3,6
" ","Sixmilebridge, Clare Division",27,27,8,23,15,11
" ","Skerries, D.M.R. Northern Division",89,103,95,76,60,75
" ","Skibbereen, Cork West Division",59,54,43,39,40,36
" ","Skreen, Sligo/Leitrim Division",5,5,4,1,2,2
" ","Slane, Meath Division",34,25,16,33,9,12
" ","Sligo, Sligo/Leitrim Division",514,395,387,309,278,277
" ","Smear, Roscommon/Longford Division",2,3,5,4,3,3
" ","Sneem, Kerry Division",2,11,1,1,3,2
" ","Sraith Salach, Galway Division",1,2,3,1,1,3
" ","Stoneyford, Kilkenny/Carlow Division",4,4,1,5,7,7
" ","Store Street, D.M.R. North Central Division",672,737,660,619,504,386
" ","Stradbally Co Laois, Laois/Offaly Division",18,16,15,14,17,12
" ","Strokestown, Roscommon/Longford Division",14,5,8,12,3,9
" ","Stuake, Cork West Division",4,5,4,10,3,6
" ","Summerhill, Meath Division",16,19,12,15,15,7
" ","Sundrive Road, D.M.R. Southern Division",396,450,463,334,301,294
" ","Swanlinbar, Cavan/Monaghan Division",3,3,4,4,7,2
" ","Swinford, Mayo Division",53,46,18,32,16,26
" ","Swords, D.M.R. Northern Division",424,371,331,319,292,274
" ","Taghmon, Wexford Division",29,49,36,30,27,14
" ","Tallaght, D.M.R. Southern Division",1030,1090,993,743,833,702
" ","Tallow, Waterford Division",9,8,8,14,6,4
" ","Tarbert, Kerry Division",4,9,1,0,7,7
" ","Tarelton, Cork West Division",7,1,5,7,2,7
" ","Taughmaconnell, Roscommon/Longford Division",0,3,0,1,1,0
" ","Templederry, Tipperary Division",0,0,0,1,1,1
" ","Templemore, Tipperary Division",26,21,21,23,16,17
" ","Templetuohy, Tipperary Division",0,2,1,4,3,2
" ","Terenure, D.M.R. Southern Division",246,263,223,165,184,149
" ","Thomastown, Kilkenny/Carlow Division",33,22,19,51,23,14
" ","Thurles, Tipperary Division",132,107,85,91,81,77
" ","Timoleague, Cork West Division",10,5,9,3,1,3
" ","Tinahely, Wicklow Division",12,15,8,24,12,8
" ","Tipperary, Tipperary Division",82,93,87,68,129,97
" ","Togher, Cork City Division",202,177,126,109,112,83
" ","Toomevara, Tipperary Division",5,5,6,3,0,1
" ","Tralee, Kerry Division",289,263,269,200,167,142
" ","Tramore, Waterford Division",158,124,115,99,67,72
" ","Trim, Meath Division",119,96,101,72,65,35
" ","Tuam, Galway Division",122,85,82,42,54,46
" ","Tubbercurry, Sligo/Leitrim Division",25,22,31,20,29,33
" ","Tulla, Clare Division",11,9,10,4,7,5
" ","Tullamore, Laois/Offaly Division",204,156,199,150,155,180
" ","Tullow, Kilkenny/Carlow Division",59,69,44,46,35,33
" ","Tulsk, Roscommon/Longford Division",1,4,1,3,1,6
" ","Urlingford, Kilkenny/Carlow Division",20,19,8,10,15,15
" ","Virginia, Cavan/Monaghan Division",17,39,29,24,18,25
" ","Watercourse Road, Cork City Division",638,491,437,389,349,318
" ","Waterford, Waterford Division",772,752,828,684,673,599
" ","Watergrasshill, Cork North Division",8,4,6,7,7,5
" ","Westport, Mayo Division",74,117,82,122,78,57
" ","Wexford, Wexford Division",274,258,230,250,224,216
" ","Whitegate, Cork North Division",9,9,15,12,9,7
" ","Wicklow, Wicklow Division",130,149,152,117,103,98
" ","Williamstown, Galway Division",1,2,5,13,5,4
" ","Woodford, Galway Division",0,8,0,4,5,1
" ","Youghal, Cork North Division",75,84,114,79,63,54
"13 ,Public order and other social code offences"
" ","Abbeyfeale, Limerick Division",59,43,43,40,67,51
" ","Abbeyleix, Laois/Offaly Division",45,49,31,21,23,12
" ","Adare, Limerick Division",1,7,5,3,5,3
" ","Aglish, Waterford Division",3,5,0,1,0,5
" ","Ahascragh, Galway Division",4,9,4,3,9,4
" ","Ailt an Chorraiin, Donegal Division",7,10,3,6,2,2
" ","An Bun Beag, Donegal Division",104,73,108,39,30,0
" ","An Charraig, Donegal Division",14,5,7,1,4,2
" ","An Cheathru Rua, Galway Division",29,19,17,19,23,10
" ","An Clochain Liath, Donegal Division",36,29,24,19,18,13
" ","An Coirean, Kerry Division",1,6,6,4,5,6
" ","An Craoslach, Donegal Division",3,7,4,9,1,0
" ","An Fail Carrach, Donegal Division",104,55,49,30,11,14
" ","An Maim, Galway Division",4,12,9,6,1,2
" ","An Rinn, Waterford Division",1,3,3,1,3,6
" ","An Spideal, Galway Division",13,9,18,14,10,8
" ","Anglesea Street, Cork City Division",1208,1244,1456,1359,1391,994
" ","Annascaul, Kerry Division",5,0,1,1,2,2
" ","Aran More, Galway Division",116,70,49,51,49,43
" ","Ard an Raitha, Donegal Division",28,11,15,6,16,8
" ","Ardee, Louth Division",45,68,59,36,24,35
" ","Ardfert, Kerry Division",20,6,7,16,7,7
" ","Ardfinnan, Tipperary Division",7,10,2,6,3,5
" ","Ardmore, Waterford Division",2,14,6,9,10,5
" ","Ardnacrusha, Limerick Division",44,28,40,40,32,18
" ","Ardrahan, Galway Division",4,3,0,2,2,4
" ","Arklow, Wicklow Division",210,232,180,184,149,145
" ","Arles, Laois/Offaly Division",5,2,4,9,6,4
" ","Arva, Cavan/Monaghan Division",19,24,17,9,7,6
" ","Ashbourne, Meath Division",171,174,129,103,119,105
" ","Ashford, Wicklow Division",42,21,19,21,16,14
" ","Askeaton, Limerick Division",20,24,20,46,28,14
" ","Athea, Limerick Division",11,10,7,0,2,3
" ","Athenry, Galway Division",21,63,61,46,35,18
" ","Athleague, Roscommon/Longford Division",4,5,1,5,5,0
" ","Athlone, Westmeath Division",557,442,444,420,302,259
" ","Athy, Kildare Division",112,115,103,120,81,86
" ","Aughrim, Wicklow Division",2,2,2,5,5,4
" ","Avoca, Wicklow Division",6,12,3,5,2,0
" ","Baile AÅtha Bui, Meath Division",66,26,25,23,27,21
" ","Baile an FheirtÈaraigh, Kerry Division",0,0,0,0,2,1
" ","Baile Bhuirne, Cork West Division",1,2,6,2,4,0
" ","Bailieboro, Cavan/Monaghan Division",101,63,57,46,102,80
" ","Balbriggan, D.M.R. Northern Division",361,255,187,168,115,93
" ","Balla, Mayo Division",10,7,10,9,14,8
" ","Ballaghderreen, Roscommon/Longford Division",85,60,108,67,54,56
" ","Ballina, Mayo Division",298,316,258,136,186,183
" ","Ballinagh, Cavan/Monaghan Division",7,4,8,7,7,7
" ","Ballinamore, Sligo/Leitrim Division",56,31,12,16,8,5
" ","Ballinasloe, Galway Division",222,272,333,199,251,140
" ","Ballincollig, Cork City Division",269,203,167,135,204,144
" ","Ballindine, Mayo Division",8,2,2,0,1,1
" ","Ballineen, Cork West Division",2,9,3,8,8,6
" ","Ballingarry North, Tipperary Division",0,0,4,1,0,0
" ","Ballingarry South, Tipperary Division",17,2,2,4,2,4
" ","Ballingarry, Limerick Division",12,15,2,5,2,13
" ","Ballinhassig, Cork West Division",6,18,6,10,13,4
" ","Ballinlough, Roscommon/Longford Division",9,7,9,7,2,6
" ","Ballinrobe, Mayo Division",26,36,47,31,27,22
" ","Ballintra, Donegal Division",7,7,10,8,8,3
" ","Ballivor, Meath Division",9,12,15,10,10,7
" ","Ballon, Kilkenny/Carlow Division",3,10,8,4,2,5
" ","Ballybay, Cavan/Monaghan Division",29,33,32,24,27,19
" ","Ballybofey, Donegal Division",119,114,147,143,103,116
" ","Ballybunion, Kerry Division",191,165,189,106,86,83
" ","Ballyconnell, Cavan/Monaghan Division",59,44,34,19,25,12
" ","Ballycotton, Cork North Division",8,9,11,4,1,2
" ","Ballycroy, Mayo Division",0,0,0,1,2,4
" ","Ballycullane, Wexford Division",3,4,4,4,5,3
" ","Ballydehob, Cork West Division",6,2,8,1,5,13
" ","Ballydesmond, Cork West Division",1,1,4,2,1,0
" ","Ballyduff,  Co. Kerry, Kerry Division",5,7,23,19,6,18
" ","Ballyfermot, D.M.R. Western Division",670,456,605,420,440,242
" ","Ballygar, Galway Division",7,5,19,4,7,14
" ","Ballyhale, Kilkenny/Carlow Division",8,5,4,3,4,5
" ","Ballyhaunis, Mayo Division",46,35,63,28,38,26
" ","Ballyheigue, Kerry Division",18,18,37,11,14,15
" ","Ballyjamesduff, Cavan/Monaghan Division",56,43,32,38,18,13
" ","Ballylanders, Limerick Division",15,29,17,28,11,5
" ","Ballylinan, Laois/Offaly Division",16,4,8,13,16,8
" ","Ballymacarberry, Waterford Division",3,4,3,9,5,10
" ","Ballymahon, Roscommon/Longford Division",28,40,40,30,24,39
" ","Ballymore, Westmeath Division",0,6,0,1,2,3
" ","Ballymote, Sligo/Leitrim Division",29,35,35,56,18,36
" ","Ballymun, D.M.R. Northern Division",501,551,414,338,362,304
" ","Ballynacargy, Westmeath Division",6,5,3,7,8,2
" ","Ballyneety, Limerick Division",8,7,10,9,4,8
" ","Ballynoe, Cork North Division",1,0,2,1,3,2
" ","Ballyporeen, Tipperary Division",10,15,7,13,4,2
" ","Ballyshannon, Donegal Division",74,57,64,67,55,26
" ","Ballyvaughan, Clare Division",0,1,2,1,0,3
" ","Baltimore, Cork West Division",0,1,2,0,2,0
" ","Baltinglass, Wicklow Division",37,41,34,43,15,25
" ","Banagher, Laois/Offaly Division",20,38,17,12,10,6
" ","Bandon, Cork West Division",340,256,179,123,138,123
" ","Bangor Erris, Mayo Division",7,5,6,3,3,3
" ","Bansha, Tipperary Division",3,8,1,2,2,7
" ","Bantry, Cork West Division",138,130,142,93,97,80
" ","Barnaderg, Galway Division",2,9,2,4,5,2
" ","Barraduff, Kerry Division",1,1,1,10,1,1
" ","BÈal aÅtha an Ghaorthaidh, Cork West Division",1,3,1,2,1,1
" ","BÈal an Mhuirthead, Mayo Division",70,55,43,50,25,35
" ","Belturbet, Cavan/Monaghan Division",23,27,28,28,39,13
" ","Bennettsbridge, Kilkenny/Carlow Division",5,4,4,5,5,7
" ","Birr,  Laois/Offaly Division",103,92,69,77,69,62
" ","Bishopstown, Cork City Division",172,148,144,151,111,111
" ","Blacklion, Cavan/Monaghan Division",1,4,5,1,0,0
" ","Blackrock, Co Cork, Cork City Division",267,201,173,177,139,101
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",287,351,248,163,126,141
" ","Blackrock, Co Louth, Louth Division",30,16,27,27,24,15
" ","Blackwater, Wexford Division",10,9,6,10,6,13
" ","Blanchardstown, D.M.R. Western Division",771,584,603,597,492,375
" ","Blarney, Cork City Division",83,60,69,69,35,41
" ","Blessington, Wicklow Division",31,91,62,52,36,35
" ","Boherbue, Cork West Division",10,3,5,8,9,9
" ","Bonniconlon, Mayo Division",2,5,4,3,6,3
" ","Borris, Kilkenny/Carlow Division",6,16,6,6,9,5
" ","Borris-In-Ossory, Laois/Offaly Division",2,4,9,3,5,1
" ","Borrisokane, Tipperary Division",7,8,7,11,10,6
" ","Borrisoleigh, Tipperary Division",2,15,2,4,4,3
" ","Bothar Na Tra, Galway Division",202,179,162,168,161,164
" ","Boyle, Roscommon/Longford Division",38,51,44,31,31,18
" ","Bray, Wicklow Division",685,648,600,513,477,403
" ","Bridewell Cork, Cork City Division",585,503,493,531,569,480
" ","Bridewell Dublin, D.M.R. North Central Division",662,552,519,591,489,363
" ","Bruff, Limerick Division",36,26,32,44,23,26
" ","Bruree, Limerick Division",8,5,13,13,10,8
" ","Bunclody, Wexford Division",44,50,30,26,23,13
" ","Buncrana, Donegal Division",212,154,226,177,161,111
" ","Bundoran, Donegal Division",134,94,114,110,114,78
" ","Burnfoot, Donegal Division",20,19,31,22,14,23
" ","Buttevant, Cork North Division",26,35,19,25,17,16
" ","Cabinteely, D.M.R. Eastern Division",176,177,157,126,110,110
" ","Cabra, D.M.R. Western Division",220,257,331,279,204,115
" ","Caherciveen, Kerry Division",43,56,68,52,75,31
" ","Caherconlish, Limerick Division",8,3,11,9,7,7
" ","Cahir, Tipperary Division",113,138,68,56,50,36
" ","Callan, Kilkenny/Carlow Division",35,17,28,26,17,17
" ","Campile, Wexford Division",4,7,4,5,4,2
" ","Cappamore, Limerick Division",7,13,17,12,10,2
" ","Cappawhite, Tipperary Division",16,3,6,3,14,4
" ","Cappoquin, Waterford Division",16,10,8,17,15,19
" ","Carbury, Kildare Division",19,7,4,8,16,8
" ","Carlingford, Louth Division",25,33,20,23,18,13
" ","Carlow, Kilkenny/Carlow Division",505,483,616,610,654,475
" ","Carna, Galway Division",5,8,10,8,1,2
" ","Carndonagh, Donegal Division",81,50,45,48,15,31
" ","Carnew, Wicklow Division",3,4,4,10,5,10
" ","Carraig Airt, Donegal Division",52,54,39,42,16,8
" ","Carrickbyrne, Wexford Division",11,8,5,12,16,6
" ","Carrickmacross, Cavan/Monaghan Division",176,212,168,199,162,139
" ","Carrick-on-Bannow, Wexford Division",13,8,4,12,8,10
" ","Carrick-On-Shannon, Sligo/Leitrim Division",147,162,137,193,150,153
" ","Carrick-On-Suir, Tipperary Division",75,61,62,78,50,74
" ","Carrigaline, Cork City Division",144,111,135,110,86,61
" ","Carrigallen, Sligo/Leitrim Division",7,9,2,0,4,0
" ","Carrigans, Donegal Division",9,16,8,6,4,5
" ","Carrigtwohill, Cork North Division",32,26,26,23,24,24
" ","Cashel, Tipperary Division",69,84,51,39,31,39
" ","Castlebar, Mayo Division",277,286,355,287,258,213
" ","Castlebellingham, Louth Division",22,9,11,8,6,17
" ","Castleblayney, Cavan/Monaghan Division",268,245,133,124,130,128
" ","Castlebridge, Wexford Division",11,11,10,14,7,10
" ","Castlecomer, Kilkenny/Carlow Division",33,44,44,36,36,33
" ","Castleconnell, Limerick Division",45,18,16,11,10,18
" ","Castledermot, Kildare Division",4,6,10,1,7,1
" ","Castlefin, Donegal Division",10,9,10,20,10,20
" ","Castlegregory, Kerry Division",14,7,7,3,6,6
" ","Castleisland, Kerry Division",60,59,82,41,36,31
" ","Castlemaine, Kerry Division",9,8,6,5,10,4
" ","Castlepollard, Westmeath Division",15,11,8,11,10,3
" ","Castlerea, Roscommon/Longford Division",64,38,24,32,30,26
" ","Castletownbere, Cork West Division",11,10,3,4,17,11
" ","Castletownroche, Cork North Division",10,3,2,4,4,1
" ","Cavan, Cavan/Monaghan Division",451,425,337,387,397,287
" ","Celbridge, Kildare Division",64,79,103,105,72,70
" ","Charlestown, Mayo Division",49,35,11,28,19,14
" ","Charleville, Cork North Division",77,49,92,101,81,45
" ","Cill Ronain, Galway Division",9,7,6,0,2,1
" ","Clane, Kildare Division",47,37,57,53,44,18
" ","Clara, Laois/Offaly Division",18,44,53,25,18,9
" ","Claremorris, Mayo Division",117,108,103,57,57,37
" ","Clifden, Galway Division",88,102,108,75,53,23
" ","Cloch na Ron, Galway Division",5,2,9,9,0,2
" ","Cloghan, Co. Offaly, Laois/Offaly Division",8,13,11,16,9,4
" ","Clogheen, Co. Tipperary, Tipperary Division",8,3,4,6,5,3
" ","Clogher, Donegal Division",11,14,2,1,0,2
" ","Clogherhead, Louth Division",10,7,13,10,8,3
" ","Clonakilty, Cork West Division",224,173,172,171,128,58
" ","Clonark, Roscommon/Longford Division",3,4,7,2,5,6
" ","Clonaslee, Laois/Offaly Division",8,5,5,1,1,3
" ","Clonbologue, Laois/Offaly Division",1,0,1,9,0,0
" ","Clondalkin, D.M.R. Western Division",456,423,456,332,347,294
" ","Clones, Cavan/Monaghan Division",29,31,41,22,22,10
" ","Clonmany, Donegal Division",17,11,15,39,9,17
" ","Clonmel, Tipperary Division",408,320,414,269,253,227
" ","Clonroche, Wexford Division",9,5,10,3,6,7
" ","Clontarf, D.M.R. Northern Division",379,342,276,196,135,116
" ","Cloughjordan, Tipperary Division",5,1,1,0,2,1
" ","Cloyne, Cork North Division",13,11,10,3,6,14
" ","Coachford, Cork West Division",9,11,7,10,7,2
" ","Cobh, Cork North Division",363,339,305,236,228,136
" ","Collon, Louth Division",6,9,1,3,4,2
" ","Collooney, Sligo/Leitrim Division",18,19,25,17,30,23
" ","Cong, Mayo Division",2,4,9,4,6,1
" ","Convoy, Donegal Division",21,40,28,13,21,13
" ","Coolaney, Sligo/Leitrim Division",1,2,4,4,8,13
" ","Coolock, D.M.R. Northern Division",741,542,392,333,256,274
" ","Cootehill, Cavan/Monaghan Division",69,84,68,109,95,55
" ","Corofin Co. Clare, Clare Division",4,1,2,10,5,4
" ","Corofin Co. Galway, Galway Division",5,2,2,1,0,2
" ","Courtown Harbour, Wexford Division",28,31,22,33,39,38
" ","Craughwell, Galway Division",7,4,4,4,6,1
" ","Creggs, Galway Division",0,0,0,0,2,1
" ","Crookstown, Cork West Division",7,5,11,4,9,5
" ","Croom, Limerick Division",11,17,17,15,11,7
" ","Crosshaven, Cork City Division",42,31,31,35,36,16
" ","Crossmolina, Mayo Division",31,16,14,14,12,5
" ","Crumlin, D.M.R. Southern Division",224,222,232,155,142,142
" ","Crusheen, Clare Division",3,8,1,1,2,1
" ","Daingean, Laois/Offaly Division",15,13,11,12,6,7
" ","Delvin, Westmeath Division",19,18,21,14,28,20
" ","Dingle, Kerry Division",102,87,62,79,99,85
" ","Dolla, Tipperary Division",0,1,1,0,1,5
" ","Donegal Town, Donegal Division",158,101,145,125,133,69
" ","Doneraile, Cork North Division",10,23,17,16,6,17
" ","Donnybrook, D.M.R. South Central Division",347,300,275,262,208,178
" ","Douglas, Cork City Division",157,210,186,164,143,138
" ","Dowra, Cavan/Monaghan Division",1,2,1,0,0,1
" ","Drimoleague, Cork West Division",4,4,11,6,3,1
" ","Drinagh, Cork West Division",3,1,0,1,3,2
" ","Drogheda, Louth Division",619,739,769,505,488,369
" ","Drumad, Louth Division",10,10,6,6,6,7
" ","Drumcollogher, Limerick Division",7,4,10,5,4,4
" ","Drumlish, Roscommon/Longford Division",14,18,20,10,7,11
" ","Drumshambo, Sligo/Leitrim Division",35,35,11,7,10,11
" ","Dublin Airport, D.M.R. Northern Division",108,107,91,71,64,65
" ","Duleek, Meath Division",20,36,29,20,11,13
" ","Dun Fionnachaid, Donegal Division",23,51,41,26,4,11
" ","Dun Laoghaire, D.M.R. Eastern Division",937,852,688,561,438,282
" ","Dunboyne, Meath Division",48,61,56,53,53,42
" ","Duncannon, Wexford Division",7,6,9,8,13,6
" ","Dundalk, Louth Division",747,799,778,702,547,319
" ","Dundrum, D.M.R. Eastern Division",505,361,359,328,309,260
" ","Dungarvan, Waterford Division",287,308,259,251,262,268
" ","Dunlavin, Wicklow Division",8,16,11,17,8,7
" ","Dunleer, Louth Division",15,22,29,22,21,23
" ","Dunmanway, Cork West Division",64,40,34,68,24,24
" ","Dunmore East, Waterford Division",32,18,25,42,15,20
" ","Dunmore, Galway Division",8,40,13,14,14,9
" ","Dunshaughlin, Meath Division",39,46,27,18,20,26
" ","Durrow, Laois/Offaly Division",23,15,11,8,5,8
" ","Durrus, Cork West Division",0,3,0,3,3,3
" ","Edenderry, Laois/Offaly Division",83,51,54,65,48,29
" ","Edgeworthstown, Roscommon/Longford Division",43,48,29,30,30,21
" ","Elphin, Roscommon/Longford Division",7,7,5,5,3,3
" ","Emly, Tipperary Division",2,3,1,2,2,4
" ","Emyvale, Cavan/Monaghan Division",9,12,5,10,9,15
" ","Enfield, Meath Division",23,19,15,6,12,8
" ","Ennis, Clare Division",690,737,559,538,517,464
" ","Enniscorthy, Wexford Division",317,275,224,220,203,138
" ","Enniscrone, Sligo/Leitrim Division",13,26,22,21,10,14
" ","Enniskerry, Wicklow Division",7,12,6,8,3,9
" ","Ennistymon, Clare Division",94,84,104,61,57,96
" ","Eyrecourt, Galway Division",5,6,1,1,2,1
" ","Farranfore, Kerry Division",5,4,8,2,9,2
" ","Ferbane, Laois/Offaly Division",15,7,14,16,10,13
" ","Fermoy, Cork North Division",303,165,125,141,97,131
" ","Ferns, Wexford Division",19,25,17,20,7,12
" ","Ferrybank, Waterford Division",38,51,38,46,48,35
" ","Fethard, Tipperary Division",12,15,25,15,18,30
" ","Finglas, D.M.R. Western Division",602,506,528,432,397,371
" ","Fitzgibbon Street, D.M.R. North Central Division",498,442,355,279,271,209
" ","Foxford, Mayo Division",14,3,16,8,14,16
" ","Foynes, Limerick Division",8,7,12,7,12,11
" ","Frenchpark, Roscommon/Longford Division",6,11,3,5,11,4
" ","Freshford, Kilkenny/Carlow Division",0,2,3,0,5,1
" ","Gaillimh, Galway Division",1977,2164,2095,1562,1602,1183
" ","Garristown, D.M.R. Northern Division",10,5,11,3,4,0
" ","Glanmire, Cork City Division",159,136,87,55,50,44
" ","Glantaine, Cork North Division",3,15,7,15,6,2
" ","Glasson, Westmeath Division",3,1,3,1,1,4
" ","Gleann na Muaidhe, Mayo Division",30,25,14,42,29,13
" ","Glenamaddy, Galway Division",4,9,3,4,3,0
" ","Glenbeigh, Kerry Division",9,12,7,8,1,2
" ","Glengarriff, Cork West Division",3,3,2,1,2,1
" ","Glenmore, Kilkenny/Carlow Division",2,2,2,2,4,1
" ","Glin, Limerick Division",5,5,7,2,3,9
