"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
" ","Corofin Co. Clare, Clare Division",4,2,1,6,6,1
" ","Corofin Co. Galway, Galway Division",3,5,2,3,3,6
" ","Courtown Harbour, Wexford Division",19,18,14,23,19,20
" ","Craughwell, Galway Division",7,0,3,6,4,4
" ","Creggs, Galway Division",0,3,0,1,0,1
" ","Crookstown, Cork West Division",17,7,3,3,6,6
" ","Croom, Limerick Division",16,15,9,8,9,5
" ","Crosshaven, Cork City Division",16,16,10,12,10,6
" ","Crossmolina, Mayo Division",11,16,6,7,4,8
" ","Crumlin, D.M.R. Southern Division",61,70,68,79,65,66
" ","Crusheen, Clare Division",3,4,2,2,3,0
" ","Daingean, Laois/Offaly Division",1,9,7,9,13,8
" ","Delvin, Westmeath Division",8,6,10,14,13,4
" ","Dingle, Kerry Division",23,11,20,8,18,14
" ","Dolla, Tipperary Division",1,1,2,0,0,0
" ","Donegal Town, Donegal Division",29,31,27,29,36,38
" ","Doneraile, Cork North Division",6,7,6,2,3,12
" ","Donnybrook, D.M.R. South Central Division",77,91,71,45,41,41
" ","Douglas, Cork City Division",53,72,50,47,37,33
" ","Dowra, Cavan/Monaghan Division",2,5,0,1,1,0
" ","Drimoleague, Cork West Division",5,6,4,2,6,6
" ","Drinagh, Cork West Division",4,2,1,3,4,0
" ","Drogheda, Louth Division",191,187,166,156,174,163
" ","Drumad, Louth Division",9,5,7,10,9,9
" ","Drumcollogher, Limerick Division",5,5,4,7,8,8
" ","Drumlish, Roscommon/Longford Division",13,10,7,6,10,6
" ","Drumshambo, Sligo/Leitrim Division",16,8,14,6,13,12
" ","Dublin Airport, D.M.R. Northern Division",10,13,5,10,10,9
" ","Duleek, Meath Division",21,26,14,15,15,11
" ","Dun Fionnachaid, Donegal Division",7,6,9,6,5,5
" ","Dun Laoghaire, D.M.R. Eastern Division",143,138,138,115,130,88
" ","Dunboyne, Meath Division",36,55,41,31,56,46
" ","Duncannon, Wexford Division",14,6,12,11,10,11
" ","Dundalk, Louth Division",312,239,221,196,205,180
" ","Dundrum, D.M.R. Eastern Division",99,94,86,113,100,104
" ","Dungarvan, Waterford Division",95,96,99,95,96,65
" ","Dunlavin, Wicklow Division",7,8,7,10,5,6
" ","Dunleer, Louth Division",19,26,14,20,24,15
" ","Dunmanway, Cork West Division",19,27,16,12,14,10
" ","Dunmore East, Waterford Division",8,12,8,16,4,6
" ","Dunmore, Galway Division",7,13,10,6,8,5
" ","Dunshaughlin, Meath Division",20,33,19,17,29,21
" ","Durrow, Laois/Offaly Division",10,6,4,7,2,3
" ","Durrus, Cork West Division",3,1,1,1,3,5
" ","Edenderry, Laois/Offaly Division",27,42,38,42,37,36
" ","Edgeworthstown, Roscommon/Longford Division",31,28,24,21,19,20
" ","Elphin, Roscommon/Longford Division",3,5,1,0,3,4
" ","Emly, Tipperary Division",8,4,4,2,3,5
" ","Emyvale, Cavan/Monaghan Division",11,14,17,10,9,11
" ","Enfield, Meath Division",9,9,13,10,4,7
" ","Ennis, Clare Division",168,162,153,127,120,123
" ","Enniscorthy, Wexford Division",80,102,81,79,80,52
" ","Enniscrone, Sligo/Leitrim Division",12,22,6,7,9,15
" ","Enniskerry, Wicklow Division",9,4,4,4,4,8
" ","Ennistymon, Clare Division",26,24,30,19,18,11
" ","Eyrecourt, Galway Division",4,6,5,1,0,4
" ","Farranfore, Kerry Division",2,8,2,4,5,2
" ","Ferbane, Laois/Offaly Division",12,4,8,7,2,11
" ","Fermoy, Cork North Division",43,47,30,26,19,31
" ","Ferns, Wexford Division",9,8,13,7,12,5
" ","Ferrybank, Waterford Division",26,28,23,36,21,35
" ","Fethard, Tipperary Division",10,19,22,14,12,15
" ","Finglas, D.M.R. Western Division",163,141,193,244,98,103
" ","Fitzgibbon Street, D.M.R. North Central Division",161,128,117,147,130,109
" ","Foxford, Mayo Division",6,19,10,10,8,12
" ","Foynes, Limerick Division",9,10,19,10,14,14
" ","Frenchpark, Roscommon/Longford Division",4,12,4,3,6,2
